,method,threshold,runtime,RF,F1
0,RaXML,None,271.93912720680237,0,100.0
1,SNJ,None,60.869497299194336,2,99.90215264187869
2,NJ,None,58.61807870864868,12,99.41291585127202
3,STR + NJ,64,37.59858417510986,6,99.706457925636
4,STR + NJ,128,38.21434831619263,4,99.80430528375734
5,STR + NJ,256,42.13895583152771,4,99.80430528375734
6,STR + SNJ,64,38.95349431037903,14,99.31506849315069
7,STR + SNJ,128,40.58106064796448,6,99.706457925636
8,STR + SNJ,256,45.515445709228516,8,99.60861056751467
9,STR + RaXML,64,131.48148488998413,6,99.706457925636
10,STR + RaXML,128,203.54381656646729,8,99.60861056751467
11,STR + RaXML,256,258.0341765880585,0,100.0
12,RaXML,None,266.4824993610382,0,100.0
13,SNJ,None,60.54938721656799,4,99.80430528375734
14,NJ,None,58.39497137069702,12,99.41291585127202
15,STR + NJ,64,37.70721626281738,16,99.21722113502935
16,STR + NJ,128,38.4148895740509,8,99.60861056751467
17,STR + NJ,256,42.185402393341064,8,99.60861056751467
18,STR + SNJ,64,38.528786420822144,10,99.51076320939336
19,STR + SNJ,128,40.309242725372314,10,99.51076320939336
20,STR + SNJ,256,45.41040635108948,8,99.60861056751467
21,STR + RaXML,64,130.44599175453186,6,99.706457925636
22,STR + RaXML,128,203.23634099960327,2,99.90215264187869
23,STR + RaXML,256,253.9408791065216,4,99.80430528375734
24,RaXML,None,268.7355351448059,0,100.0
25,SNJ,None,60.646180868148804,2,99.90215264187869
26,NJ,None,58.5704391002655,8,99.60861056751467
27,STR + NJ,64,37.83416557312012,12,99.41291585127202
28,STR + NJ,128,38.22121214866638,6,99.706457925636
29,STR + NJ,256,41.830225467681885,8,99.60861056751467
30,STR + SNJ,64,38.317636489868164,16,99.21722113502935
31,STR + SNJ,128,40.265618085861206,12,99.41291585127202
32,STR + SNJ,256,45.43799304962158,14,99.31506849315069
33,STR + RaXML,64,129.94473481178284,4,99.80430528375734
34,STR + RaXML,128,204.16606378555298,4,99.80430528375734
35,STR + RaXML,256,255.25032901763916,2,99.90215264187869
36,RaXML,None,267.8012812137604,0,100.0
37,SNJ,None,60.602163314819336,4,99.80430528375734
38,NJ,None,58.56648373603821,4,99.80430528375734
39,STR + NJ,64,37.48491358757019,6,99.706457925636
40,STR + NJ,128,38.57879567146301,6,99.706457925636
41,STR + NJ,256,42.39648985862732,6,99.706457925636
42,STR + SNJ,64,38.63366365432739,14,99.31506849315069
43,STR + SNJ,128,40.371660232543945,12,99.41291585127202
44,STR + SNJ,256,45.86847376823425,8,99.60861056751467
45,STR + RaXML,64,131.1037402153015,10,99.51076320939336
46,STR + RaXML,128,203.60617852210999,2,99.90215264187869
47,STR + RaXML,256,252.10701870918274,0,100.0
48,RaXML,None,268.7063727378845,0,100.0
49,SNJ,None,60.49868726730347,2,99.90215264187869
50,NJ,None,58.99838066101074,24,98.82583170254404
51,STR + NJ,64,37.66146779060364,4,99.80430528375734
52,STR + NJ,128,38.61761164665222,14,99.31506849315069
53,STR + NJ,256,41.98942470550537,2,99.90215264187869
54,STR + SNJ,64,38.63570976257324,22,98.92367906066536
55,STR + SNJ,128,40.350568771362305,4,99.80430528375734
56,STR + SNJ,256,45.9654335975647,2,99.90215264187869
57,STR + RaXML,64,131.63853931427002,6,99.706457925636
58,STR + RaXML,128,201.6855628490448,2,99.90215264187869
59,STR + RaXML,256,254.84734773635864,0,100.0
60,RaXML,None,266.54580330848694,0,100.0
61,SNJ,None,60.33882284164429,2,99.90215264187869
62,NJ,None,57.86686897277832,4,99.80430528375734
63,STR + NJ,64,37.67222833633423,14,99.31506849315069
64,STR + NJ,128,38.37555146217346,10,99.51076320939336
65,STR + NJ,256,41.70092511177063,6,99.706457925636
66,STR + SNJ,64,38.518224000930786,12,99.41291585127202
67,STR + SNJ,128,40.13901996612549,12,99.41291585127202
68,STR + SNJ,256,45.31047248840332,6,99.706457925636
69,STR + RaXML,64,130.56099343299866,6,99.706457925636
70,STR + RaXML,128,203.47785258293152,2,99.90215264187869
71,STR + RaXML,256,255.82147550582886,0,100.0
72,RaXML,None,271.19477581977844,2,99.90215264187869
73,SNJ,None,60.299052238464355,6,99.706457925636
74,NJ,None,57.27253556251526,14,99.31506849315069
75,STR + NJ,64,37.52527356147766,8,99.60861056751467
76,STR + NJ,128,38.27489233016968,4,99.80430528375734
77,STR + NJ,256,41.70858359336853,2,99.90215264187869
78,STR + SNJ,64,38.90169024467468,12,99.41291585127202
79,STR + SNJ,128,40.1160409450531,16,99.21722113502935
80,STR + SNJ,256,45.62135028839111,6,99.706457925636
81,STR + RaXML,64,130.3128685951233,4,99.80430528375734
82,STR + RaXML,128,204.519611120224,6,99.706457925636
83,STR + RaXML,256,253.32315754890442,4,99.80430528375734
84,RaXML,None,265.2090554237366,0,100.0
85,SNJ,None,60.52921152114868,10,99.51076320939336
86,NJ,None,57.9656765460968,8,99.60861056751467
87,STR + NJ,64,37.8113272190094,10,99.51076320939336
88,STR + NJ,128,38.57500910758972,8,99.60861056751467
89,STR + NJ,256,42.079676151275635,4,99.80430528375734
90,STR + SNJ,64,38.93617510795593,14,99.31506849315069
91,STR + SNJ,128,40.43202757835388,16,99.21722113502935
92,STR + SNJ,256,45.628671407699585,12,99.41291585127202
93,STR + RaXML,64,131.96553754806519,2,99.90215264187869
94,STR + RaXML,128,205.90704035758972,8,99.60861056751467
95,STR + RaXML,256,253.6779022216797,0,100.0
96,RaXML,None,271.8295085430145,2,99.90215264187869
97,SNJ,None,60.404579877853394,4,99.80430528375734
98,NJ,None,57.82217454910278,8,99.60861056751467
99,STR + NJ,64,37.91403245925903,6,99.706457925636
100,STR + NJ,128,38.589476108551025,8,99.60861056751467
101,STR + NJ,256,41.893879890441895,8,99.60861056751467
102,STR + SNJ,64,38.973724126815796,8,99.60861056751467
103,STR + SNJ,128,40.51226568222046,10,99.51076320939336
104,STR + SNJ,256,45.69216299057007,10,99.51076320939336
105,STR + RaXML,64,131.1966369152069,8,99.60861056751467
106,STR + RaXML,128,205.1414098739624,2,99.90215264187869
107,STR + RaXML,256,255.76454949378967,4,99.80430528375734
108,RaXML,None,270.3047556877136,0,100.0
109,SNJ,None,60.44681477546692,2,99.90215264187869
110,NJ,None,57.548210859298706,12,99.41291585127202
111,STR + NJ,64,37.45970153808594,8,99.60861056751467
112,STR + NJ,128,38.32505774497986,2,99.90215264187869
113,STR + NJ,256,41.502723693847656,8,99.60861056751467
114,STR + SNJ,64,38.4907112121582,14,99.31506849315069
115,STR + SNJ,128,40.164915561676025,8,99.60861056751467
116,STR + SNJ,256,45.19742822647095,10,99.51076320939336
117,STR + RaXML,64,130.3519790172577,8,99.60861056751467
118,STR + RaXML,128,203.8938627243042,2,99.90215264187869
119,STR + RaXML,256,251.20822286605835,2,99.90215264187869
