,method,threshold,runtime,RF,F1
127,snj,None,3.9822211265563965,230,54.7244094488189
128,nj,None,3.548201084136963,250,50.78740157480315
129,nj sp deep,16,3.4055516719818115,28,94.48818897637794
130,nj sp deep,32,3.3713717460632324,34,93.30708661417323
131,nj sp deep,64,3.3372442722320557,76,85.03937007874016
132,raxml sp deep,16,21.117493152618408,42,91.73228346456692
133,raxml sp deep,32,36.92534565925598,14,97.24409448818899
134,raxml sp deep,64,41.17769694328308,12,97.63779527559055
135,raxml,None,55.35405611991882,204,59.84251968503938
136,snj,None,3.9772658348083496,224,55.90551181102362
137,nj,None,3.5283007621765137,196,61.41732283464567
138,nj sp deep,16,3.4806036949157715,24,95.2755905511811
139,nj sp deep,32,3.3520967960357666,24,95.2755905511811
140,nj sp deep,64,3.3381459712982178,242,52.362204724409445
141,raxml sp deep,16,21.419102907180786,20,96.06299212598425
142,raxml sp deep,32,31.284223079681396,18,96.45669291338582
143,raxml sp deep,64,42.08332133293152,20,96.06299212598425
144,raxml,None,51.94858360290527,190,62.59842519685039
145,snj,None,3.9808835983276367,232,54.33070866141732
146,nj,None,3.529127359390259,246,51.574803149606296
147,nj sp deep,16,3.3832013607025146,12,97.63779527559055
148,nj sp deep,32,3.4664902687072754,194,61.81102362204724
149,nj sp deep,64,3.33524489402771,72,85.8267716535433
150,raxml sp deep,16,21.07294464111328,16,96.8503937007874
151,raxml sp deep,32,35.77736496925354,82,83.85826771653542
152,raxml sp deep,64,41.21892046928406,22,95.66929133858268
153,raxml,None,76.56728625297546,198,61.02362204724409
154,snj,None,4.0011773109436035,224,55.90551181102362
155,nj,None,3.5271575450897217,226,55.51181102362205
156,nj sp deep,16,3.3998167514801025,26,94.88188976377953
157,nj sp deep,32,3.3423798084259033,20,96.06299212598425
158,nj sp deep,64,3.509702444076538,250,50.78740157480315
159,raxml sp deep,16,16.720974683761597,34,93.30708661417323
160,raxml sp deep,32,31.10918617248535,164,67.71653543307086
161,raxml sp deep,64,41.969287157058716,8,98.4251968503937
162,raxml,None,62.47514081001282,186,63.38582677165355
163,snj,None,3.998460531234741,230,54.7244094488189
164,nj,None,3.553622007369995,248,51.18110236220472
165,nj sp deep,16,3.384300708770752,56,88.9763779527559
166,nj sp deep,32,3.3386919498443604,38,92.51968503937009
167,nj sp deep,64,3.3315162658691406,116,77.16535433070865
168,raxml sp deep,16,16.77417540550232,172,66.14173228346456
169,raxml sp deep,32,34.26706504821777,34,93.30708661417323
170,raxml sp deep,64,41.44680666923523,20,96.06299212598425
171,raxml,None,60.01406240463257,116,77.16535433070865
172,snj,None,4.038171052932739,222,56.2992125984252
173,nj,None,3.5870468616485596,204,59.84251968503938
174,nj sp deep,16,3.424485921859741,52,89.76377952755904
175,nj sp deep,32,3.353940725326538,24,95.2755905511811
176,nj sp deep,64,3.37618088722229,136,73.2283464566929
177,raxml sp deep,16,16.805007457733154,212,58.267716535433074
178,raxml sp deep,32,34.401519536972046,18,96.45669291338582
179,raxml sp deep,64,47.49393916130066,198,61.02362204724409
