,method,threshold,runtime,RF,F1
0,RaXML,None,171.0673806667328,894,56.262230919765166
1,SNJ,None,272.13170099258423,16,99.21722113502935
2,NJ,None,60.41153693199158,992,51.46771037181996
3,STR + NJ,64,45.431824922561646,944,53.8160469667319
4,STR + NJ,128,44.98128151893616,938,54.109589041095894
5,STR + NJ,256,48.958210468292236,1008,50.68493150684932
6,STR + SNJ,64,54.54971265792847,774,62.133072407045006
7,STR + SNJ,128,47.01742744445801,980,52.05479452054795
8,STR + SNJ,256,57.11153745651245,758,62.91585127201565
9,STR + RaXML,64,120.97306489944458,920,54.990215264187874
10,STR + RaXML,128,143.68104481697083,906,55.67514677103719
11,STR + RaXML,256,180.2810561656952,858,58.023483365949126
12,RaXML,None,217.06114029884338,914,55.283757338551865
13,SNJ,None,324.6773431301117,18,99.11937377690803
14,NJ,None,60.2442102432251,996,51.2720156555773
15,STR + NJ,64,46.013959884643555,942,53.91389432485323
16,STR + NJ,128,46.244264125823975,866,57.63209393346381
17,STR + NJ,256,50.683459758758545,1002,50.978473581213315
18,STR + SNJ,64,43.82314610481262,740,63.796477495107624
19,STR + SNJ,128,49.27761626243591,880,56.947162426614476
20,STR + SNJ,256,53.016775369644165,960,53.03326810176125
21,STR + RaXML,64,116.55954337120056,906,55.67514677103719
22,STR + RaXML,128,147.28008341789246,960,53.03326810176125
23,STR + RaXML,256,182.0179319381714,900,55.96868884540117
24,RaXML,None,219.2051088809967,942,53.91389432485323
25,SNJ,None,271.60476660728455,12,99.41291585127202
26,NJ,None,58.784003019332886,1010,50.58708414872799
27,STR + NJ,64,50.34620189666748,828,59.49119373776908
28,STR + NJ,128,52.523226737976074,996,51.2720156555773
29,STR + NJ,256,45.845839977264404,972,52.44618395303326
30,STR + SNJ,64,46.856791496276855,1004,50.880626223091966
31,STR + SNJ,128,48.365161418914795,726,64.48140900195693
32,STR + SNJ,256,52.50414776802063,966,52.73972602739725
33,STR + RaXML,64,114.51893067359924,972,52.44618395303326
34,STR + RaXML,128,144.73356866836548,852,58.31702544031311
35,STR + RaXML,256,168.66047024726868,882,56.84931506849316
36,RaXML,None,139.5585973262787,914,55.283757338551865
37,SNJ,None,280.11685729026794,10,99.51076320939336
38,NJ,None,62.978867053985596,922,54.89236790606653
39,STR + NJ,64,50.748942375183105,948,53.62035225048923
40,STR + NJ,128,48.63187575340271,940,54.01174168297456
41,STR + NJ,256,46.02084708213806,1010,50.58708414872799
42,STR + SNJ,64,54.74533724784851,952,53.424657534246585
43,STR + SNJ,128,50.5255913734436,816,60.07827788649706
44,STR + SNJ,256,59.59489393234253,726,64.48140900195693
45,STR + RaXML,64,120.14875316619873,902,55.87084148727985
46,STR + RaXML,128,126.4140613079071,528,74.16829745596868
47,STR + RaXML,256,215.9041290283203,898,56.0665362035225
48,RaXML,None,159.38016271591187,794,61.1545988258317
49,SNJ,None,274.203670501709,12,99.41291585127202
50,NJ,None,63.15240216255188,1008,50.68493150684932
51,STR + NJ,64,48.60926580429077,828,59.49119373776908
52,STR + NJ,128,41.414695501327515,830,59.39334637964775
53,STR + NJ,256,47.39829206466675,1008,50.68493150684932
54,STR + SNJ,64,48.24919319152832,988,51.66340508806262
55,STR + SNJ,128,50.654574155807495,616,69.86301369863013
56,STR + SNJ,256,51.26828360557556,968,52.641878669275926
57,STR + RaXML,64,115.5393579006195,782,61.74168297455968
58,STR + RaXML,128,135.86784386634827,824,59.68688845401174
59,STR + RaXML,256,146.46701765060425,896,56.16438356164384
60,RaXML,None,121.69083523750305,732,64.18786692759295
61,SNJ,None,307.5455467700958,10,99.51076320939336
62,NJ,None,58.04220247268677,956,53.22896281800391
63,STR + NJ,64,43.611034870147705,972,52.44618395303326
64,STR + NJ,128,43.51115369796753,876,57.142857142857146
65,STR + NJ,256,48.761274099349976,1004,50.880626223091966
66,STR + SNJ,64,50.16673684120178,828,59.49119373776908
67,STR + SNJ,128,53.041953802108765,674,67.02544031311156
68,STR + SNJ,256,52.79712533950806,648,68.29745596868885
69,STR + RaXML,64,117.06268882751465,790,61.350293542074354
70,STR + RaXML,128,133.39047527313232,850,58.414872798434445
71,STR + RaXML,256,151.0205957889557,856,58.12133072407046
72,RaXML,None,177.0932502746582,880,56.947162426614476
73,SNJ,None,287.98632740974426,4,99.80430528375734
74,NJ,None,56.35653305053711,986,51.76125244618396
75,STR + NJ,64,42.74024057388306,970,52.544031311154605
76,STR + NJ,128,43.496835708618164,1010,50.58708414872799
77,STR + NJ,256,44.508137464523315,894,56.262230919765166
78,STR + SNJ,64,45.591182231903076,868,57.53424657534247
79,STR + SNJ,128,47.676249742507935,842,58.80626223091977
80,STR + SNJ,256,54.77060580253601,754,63.11154598825833
81,STR + RaXML,64,121.39523577690125,908,55.577299412915856
82,STR + RaXML,128,127.98794627189636,994,51.36986301369864
83,STR + RaXML,256,143.6957619190216,922,54.89236790606653
84,RaXML,None,205.55635595321655,934,54.30528375733856
85,SNJ,None,332.281457901001,6,99.706457925636
86,NJ,None,56.775465965270996,1010,50.58708414872799
87,STR + NJ,64,46.527509689331055,986,51.76125244618396
88,STR + NJ,128,44.29211473464966,858,58.023483365949126
89,STR + NJ,256,44.41127848625183,918,55.088062622309195
90,STR + SNJ,64,46.53633737564087,846,58.61056751467711
91,STR + SNJ,128,47.15409016609192,988,51.66340508806262
92,STR + SNJ,256,54.311771631240845,752,63.20939334637965
93,STR + RaXML,64,114.46349573135376,970,52.544031311154605
94,STR + RaXML,128,126.08922338485718,846,58.61056751467711
95,STR + RaXML,256,154.49037337303162,964,52.837573385518596
96,RaXML,None,129.14991760253906,794,61.1545988258317
97,SNJ,None,296.2635130882263,26,98.72798434442271
98,NJ,None,55.55297517776489,1004,50.880626223091966
99,STR + NJ,64,44.23673391342163,934,54.30528375733856
100,STR + NJ,128,43.51210379600525,926,54.696673189823876
101,STR + NJ,256,42.741493701934814,1000,51.07632093933464
102,STR + SNJ,64,47.19513487815857,926,54.696673189823876
103,STR + SNJ,128,47.60651350021362,804,60.665362035225044
104,STR + SNJ,256,52.186190605163574,554,72.89628180039139
105,STR + RaXML,64,112.31173586845398,960,53.03326810176125
106,STR + RaXML,128,121.46049976348877,760,62.81800391389433
107,STR + RaXML,256,134.3893404006958,748,63.405088062622305
108,RaXML,None,120.56949090957642,928,54.59882583170255
109,SNJ,None,376.0037262439728,10,99.51076320939336
110,NJ,None,54.079620361328125,1002,50.978473581213315
111,STR + NJ,64,47.19789218902588,800,60.86105675146772
112,STR + NJ,128,40.77093839645386,1006,50.782778864970645
113,STR + NJ,256,45.729161739349365,1002,50.978473581213315
114,STR + SNJ,64,46.1345534324646,980,52.05479452054795
115,STR + SNJ,128,46.7666130065918,794,61.1545988258317
116,STR + SNJ,256,47.28536295890808,816,60.07827788649706
117,STR + RaXML,64,106.7770586013794,904,55.77299412915852
118,STR + RaXML,128,135.26978087425232,748,63.405088062622305
119,STR + RaXML,256,120.16283297538757,928,54.59882583170255
