,method,threshold,runtime,RF,F1
0,RaXML,None,1887.1280541419983,204,95.01466275659824
1,SNJ,None,412.9137718677521,1120,72.62952101661779
2,NJ,None,414.28759717941284,458,88.80742913000978
3,STR + NJ,32,256.18504905700684,420,89.73607038123167
4,STR + NJ,64,256.84153604507446,398,90.27370478983381
5,STR + NJ,128,262.67379689216614,374,90.86021505376344
6,STR + SNJ,32,257.0966639518738,610,85.09286412512219
7,STR + SNJ,64,263.25217962265015,612,85.04398826979472
8,STR + SNJ,128,258.298951625824,666,83.72434017595307
9,STR + RaXML,32,386.6034617424011,364,91.10459433040077
10,STR + RaXML,64,543.0483133792877,314,92.32649071358749
11,STR + RaXML,128,891.9067492485046,250,93.89051808406649
